,No.Tested,Pos Cases,Neg Casses,% of Pos,malignant,Non-malignant,Plasmodium,Quartan,Double Tertian,local,Alien,Non-catagorized,Else
Dammam,215322.0,309.0,215013.0,0.1435060049600134,101.0,207.0,0.0,1.0,0.0,0.0,309.0,0.0,0.0
Al-ahssa,52203.0,21.0,52182.0,0.04022757312798115,13.0,8.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
Al-jowf,26742.0,4.0,26738.0,0.01495774437214868,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Northern-Borders,1172.0,8.0,1164.0,0.6825938566552902,6.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
Qurayat,7178.0,0.0,7178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hafar-albatin,96.0,19.0,77.0,19.791666666666664,9.0,10.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
Qaseem,54398.0,59.0,54339.0,0.10845986984815618,10.0,49.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
Riyadh,209823.0,152.0,209671.0,0.0724420106470692,53.0,96.0,1.0,1.0,1.0,0.0,152.0,0.0,0.0
Bishaa,3357.0,20.0,3337.0,0.5957700327673519,13.0,7.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Najraan,22403.0,29.0,22374.0,0.12944694906932108,15.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
Tabook,9061.0,3.0,9058.0,0.033108928374351615,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Hail,5767.0,10.0,5757.0,0.17340038148083928,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Madena,72347.0,130.0,72217.0,0.17968955174367976,90.0,40.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0
Taif,82897.0,55.0,82842.0,0.06634739496001062,21.0,34.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
Mecca,21386.0,67.0,21319.0,0.3132890676143271,36.0,27.0,0.0,3.0,1.0,0.0,67.0,0.0,0.0
Jeddah,1491.0,215.0,1276.0,14.41985244802146,110.0,95.0,0.0,2.0,8.0,0.0,215.0,0.0,0.0
Allaith,4758.0,0.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alqunfthah,1692.0,19.0,1673.0,1.1229314420803782,13.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
Bahaa,15804.0,12.0,15792.0,0.07593014426727411,8.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Jazaan,184734.0,1516.0,183218.0,0.8206394058484091,1358.0,158.0,0.0,0.0,0.0,177.0,1339.0,0.0,0.0
Aseer,23322.0,63.0,23259.0,0.2701312065860561,34.0,29.0,0.0,0.0,0.0,17.0,46.0,0.0,0.0
Total,1015953.0,2711.0,1013242.0,0.2668430527790163,1898.0,794.0,1.0,8.0,10.0,194.0,2517.0,0.0,0.0
