,No.Tested,Pos Casses,Neg Casses,% of Pos,malignant,Non-malignant,Plasmodium,Quartan,Double Tertian,local,Alien,Non-catagorized,Else
Dammam,253014,286,252728,0.11303722323665884,122,164,0,0,0,0,286,0,0
Al-ahssa,51434,41,51393,0.07971380798693471,31,10,0,0,0,0,41,0,0
Al-jowf,29379,6,29373,0.02042275094455223,3,1,2,0,0,0,6,0,0
Northern-Borders,1111,11,1100,0.9900990099009901,9,0,2,0,0,0,11,0,0
Qurayat,6602,3,6599,0.04544077552256892,0,3,0,0,0,0,3,0,0
hafar-albatin,1148,14,1134,1.2195121951219512,9,5,0,0,0,0,14,0,0
Qaseem,73829,47,73782,0.06366062116512482,8,37,2,0,0,0,47,0,0
Riyadh,273965,152,273813,0.05548153961272425,40,99,1,12,0,0,152,0,0
Bishaa,2487,17,2470,0.6835544833132288,13,4,0,0,0,0,17,0,0
Najraan,26243,29,26214,0.11050565865183097,14,15,0,0,0,0,29,0,0
Tabook,7282,24,7258,0.32957978577313923,20,4,0,0,0,0,24,0,0
Hail,3625,14,3611,0.38620689655172413,10,4,0,0,0,0,14,0,0
Madena,57860,133,57727,0.22986519184237816,76,57,0,0,0,0,132,1,0
Taif,78675,103,78572,0.13091833492214808,57,43,2,1,0,0,103,0,0
Mecca,17059,87,16972,0.5099947241925084,62,23,1,1,0,0,87,0,0
Jeddah,257,257,0,100.0,132,123,0,2,0,0,257,0,0
Allaith,1554,0,1554,0.0,0,0,0,0,0,0,0,0,0
Alqunfthah,2556,11,2545,0.4303599374021909,7,4,0,0,0,0,11,0,0
Bahaa,9490,9,9481,0.09483667017913594,5,4,0,0,0,0,9,0,0
Jazaan,194742,818,193924,0.4200429285927021,810,8,0,0,26,85,707,0,0
Aseer,26394,90,26304,0.3409865878608775,70,20,0,0,12,0,78,0,0
Total,1118706,2152,1116554,0.19236510754389446,1498,628,10,16,38,85,2028,1,0
