,No.Tested,Pos Cases,Neg Casses,% of Pos,malignant,Non-malignant,Quartan,Double Tertian,local,Introduced,Alien,Non-catagorized,Else
Dammam,95085,107,,0.11253089341115843,58,49,0,0,0,0,107,0,0
Al-ahssa,46855,21,,0.04481912282573899,17,3,0,1,0,0,21,0,0
Al-jowf,14003,1,,0.0071413268585303145,1,0,0,0,0,0,1,0,0
Northern-Borders,889,5,,0.562429696287964,4,1,0,0,0,0,5,0,0
Qurayat,3738,0,,0.0,0,0,0,0,0,0,0,0,0
hafar-albatin,120,9,,7.5,9,0,0,0,0,0,9,0,0
Qaseem,45817,20,,0.04365191959316411,7,12,1,0,0,0,20,0,0
Riyadh,120164,47,,0.03911321194367698,17,27,3,0,0,0,47,0,0
Bishaa,667,20,,2.998500749625187,3,17,0,0,0,0,20,0,0
Najraan,18263,13,,0.07118217160378908,9,4,0,0,0,0,13,0,0
Tabook,3514,2,,0.056915196357427436,2,0,0,0,0,0,2,0,0
Hail,1680,5,,0.2976190476190476,2,3,0,0,0,0,5,0,0
Madena,38146,28,,0.07340219157972001,18,9,0,1,0,0,28,0,0
Taif,76754,41,,0.05341741147041197,18,22,0,1,0,0,41,0,0
Mecca,19530,36,,0.18433179723502305,24,10,0,2,0,0,36,0,0
Jeddah,147,147,,100.0,91,51,2,3,0,0,147,0,0
Allaith,4834,0,,0.0,0,0,0,0,0,0,0,0,0
Alqunfthah,2556,6,,0.2347417840375587,4,2,0,0,0,0,6,0,0
Bahaa,13733,15,,0.10922595208621569,12,3,0,0,0,0,15,0,0
Jazaan,187819,3022,,1.6089958949840006,2841,180,1,0,67,88,2867,0,0
Aseer,8734,113,,1.2937943668422258,94,19,0,0,16,34,63,0,0
Total,703048,3658,,0.520305868162629,3231,412,7,8,83,122,3453,0,0
