,No.Tested,Pos Cases,Neg Casses,% of Pos,malignant,Non-malignant,Plasmodium,Quartan,Double Tertian,local,Introduced,Alien,Non-catagorized,regressive
Dammam,114944,206,114738,0.17921770601336304,0.17,142,64,0,0,0,0,206,0,0
Al-ahssa,46629,32,46597,0.0686268202191769,0.06,23,7,0,2,0,0,32,0,0
Al-jowf,28525,2,28523,0.007011393514460999,0.007,0,2,0,0,0,0,2,0,0
Northern-Borders,114,6,108,5.263157894736842,5.26,5,1,0,0,0,0,6,0,0
Qurayat,3968,1,3967,0.025201612903225805,0.025,0,1,0,0,0,0,1,0,0
hafar-albatin,200,24,176,12.0,12.0,7,17,0,0,0,0,24,0,0
Qaseem,52553,51,52502,0.0970448880178106,0.09,28,23,0,0,0,0,51,0,0
Riyadh,19202,121,19081,0.6301426934694303,0.63,105,12,3,1,0,0,121,0,0
Bishaa,3105,16,3089,0.5152979066022545,0.51,5,10,1,0,0,0,16,0,0
Najraan,21860,38,21822,0.17383348581884722,0.17,16,21,0,1,0,0,38,0,0
Tabook,3627,7,3620,0.19299696719051557,0.19,7,0,0,0,0,0,7,0,0
Hail,3434,20,3414,0.5824111822947,0.58,8,12,0,0,0,0,20,0,0
Madena,40832,55,40777,0.13469827586206898,0.13,48,5,1,1,0,0,55,0,0
Taif,73892,67,73825,0.09067287392410545,0.09,44,23,0,0,0,0,67,0,0
Mecca,34093,32,34061,0.093860909864195,0.09,21,9,0,2,0,0,32,0,0
Jeddah,3525,156,3369,4.425531914893617,4.42,95,52,2,7,0,0,156,0,0
Allaith,1684,0,1684,0.0,0.0,0,0,0,0,0,0,0,0,0
Alqunfthah,1019,7,1012,0.6869479882237487,0.68,3,4,0,0,0,0,7,0,0
Bahaa,14546,32,14514,0.2199917503093634,0.21,25,7,0,0,0,0,32,0,0
Jazaan,165023,1657,163366,1.0041024584451865,1.0,1375,190,2,90,0,112,1545,0,0
Aseer,10043,86,9957,0.856317833316738,0.85,66,20,0,0,0,34,52,0,0
Total,642818,2616,640202,0.40695811256063147,0.48,2023,480,9,104,0,146,2470,0,0
